run,seed,model,candidate_id,params,inner_train_n,validation_n,validation_AUPRC,validation_F1_threshold
1,42,LightGBM,44,"{""colsample_bytree"": 0.8262603925975885, ""learning_rate"": 0.020053943107889584, ""max_depth"": 12, ""min_child_samples"": 5, ""n_estimators"": 600, ""num_leaves"": 127, ""reg_alpha"": 0.4380173889695772, ""reg_lambda"": 0.008396152105361394, ""subsample"": 0.9103485246943543, ""subsample_freq"": 1}",39654,9914,0.8970250730842955,0.6896466846462588
1,42,LightGBM,45,"{""colsample_bytree"": 0.6667367846046279, ""learning_rate"": 0.016241085674121712, ""max_depth"": 16, ""min_child_samples"": 80, ""n_estimators"": 300, ""num_leaves"": 95, ""reg_alpha"": 0.26957720928408807, ""reg_lambda"": 0.08217978324103985, ""subsample"": 0.757844308703369, ""subsample_freq"": 1}",39654,9914,0.8633394464906654,0.7712731696375993
1,42,LightGBM,46,"{""colsample_bytree"": 0.6603101855279926, ""learning_rate"": 0.027295860257455565, ""max_depth"": 16, ""min_child_samples"": 80, ""n_estimators"": 300, ""num_leaves"": 63, ""reg_alpha"": 0.0008100286534870132, ""reg_lambda"": 0.0001774497582586523, ""subsample"": 0.7683163577478673, ""subsample_freq"": 1}",39654,9914,0.8756510524577292,0.8021222721731867
1,42,LightGBM,47,"{""colsample_bytree"": 0.7872372703664261, ""learning_rate"": 0.024564205032405213, ""max_depth"": 8, ""min_child_samples"": 5, ""n_estimators"": 600, ""num_leaves"": 127, ""reg_alpha"": 0.03377036590205476, ""reg_lambda"": 0.00019265908360969385, ""subsample"": 0.8233910402813385, ""subsample_freq"": 1}",39654,9914,0.8894794715177073,0.7445257799184426
1,42,LightGBM,48,"{""colsample_bytree"": 0.6169228772734024, ""learning_rate"": 0.02995298669083202, ""max_depth"": 12, ""min_child_samples"": 10, ""n_estimators"": 900, ""num_leaves"": 31, ""reg_alpha"": 0.00043923703681047864, ""reg_lambda"": 5.779869487843075, ""subsample"": 0.7463694258898487, ""subsample_freq"": 1}",39654,9914,0.89840718386831,0.7362253333774386
1,42,LightGBM,49,"{""colsample_bytree"": 0.8480234899728589, ""learning_rate"": 0.01270851741482036, ""max_depth"": 8, ""min_child_samples"": 40, ""n_estimators"": 900, ""num_leaves"": 63, ""reg_alpha"": 0.42049388531328313, ""reg_lambda"": 3.0462995240297333, ""subsample"": 0.9672749576418196, ""subsample_freq"": 1}",39654,9914,0.862756756486888,0.8097885310337265
1,42,LightGBM,50,"{""colsample_bytree"": 0.7439615771223652, ""learning_rate"": 0.02699754090114853, ""max_depth"": 8, ""min_child_samples"": 40, ""n_estimators"": 900, ""num_leaves"": 63, ""reg_alpha"": 0.004808393809635687, ""reg_lambda"": 0.011771877528634761, ""subsample"": 0.9906889625019448, ""subsample_freq"": 1}",39654,9914,0.8871141986939467,0.7694499750924643
1,42,XGBoost,1,"{""colsample_bytree"": 0.7180042149102734, ""gamma"": 0.39045910548168705, ""learning_rate"": 0.08245395136888041, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_alpha"": 0.00011092520942759408, ""reg_lambda"": 2.408176365033969, ""subsample"": 0.7556036435479676}",39654,9914,0.8356774348364863,0.7996744513511658
1,42,XGBoost,2,"{""colsample_bytree"": 0.7370665957018989, ""gamma"": 0.14376472345362334, ""learning_rate"": 0.013266075955308853, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 1200, ""reg_alpha"": 0.032062914283014964, ""reg_lambda"": 5.025989277435512, ""subsample"": 0.714833654541624}",39654,9914,0.8147725993108637,0.782065749168396
1,42,XGBoost,3,"{""colsample_bytree"": 0.6212011750235898, ""gamma"": 0.21433176310869362, ""learning_rate"": 0.025062445666757145, ""max_depth"": 9, ""min_child_weight"": 3, ""n_estimators"": 1200, ""reg_alpha"": 0.19165154149444613, ""reg_lambda"": 0.40426295201808354, ""subsample"": 0.7247995899801393}",39654,9914,0.9033343210852428,0.5748491287231445
1,42,XGBoost,4,"{""colsample_bytree"": 0.8125379944337949, ""gamma"": 0.4850901130248907, ""learning_rate"": 0.08986512816580065, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 900, ""reg_alpha"": 0.0075219187174227035, ""reg_lambda"": 0.2512910905678844, ""subsample"": 0.9346128986699928}",39654,9914,0.8995363578690528,0.7509567737579346
1,42,XGBoost,5,"{""colsample_bytree"": 0.9557501113347111, ""gamma"": 0.16634790577222902, ""learning_rate"": 0.054077130017187475, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 300, ""reg_alpha"": 0.0006092484502884314, ""reg_lambda"": 0.5219605626344049, ""subsample"": 0.8813842691644832}",39654,9914,0.8208912234352792,0.8044911026954651
1,42,XGBoost,6,"{""colsample_bytree"": 0.9565427190370107, ""gamma"": 0.923011453576005, ""learning_rate"": 0.05163885005193632, ""max_depth"": 5, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_alpha"": 0.006742164269045938, ""reg_lambda"": 3.2319134669448335, ""subsample"": 0.750035280126336}",39654,9914,0.8781407802969071,0.7628108263015747
1,42,XGBoost,7,"{""colsample_bytree"": 0.7740424233343164, ""gamma"": 0.6563350052863172, ""learning_rate"": 0.021345187017169445, ""max_depth"": 9, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_alpha"": 0.0015127383437045496, ""reg_lambda"": 1.0775389853598614, ""subsample"": 0.8330789414121519}",39654,9914,0.8812303385603018,0.7327404618263245
1,42,XGBoost,8,"{""colsample_bytree"": 0.7495884539241965, ""gamma"": 0.30130516264965856, ""learning_rate"": 0.06758305983258688, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 1200, ""reg_alpha"": 0.0012450745239248112, ""reg_lambda"": 2.0147457810247977, ""subsample"": 0.8946781612576635}",39654,9914,0.8958501314837254,0.6961829662322998
1,42,XGBoost,9,"{""colsample_bytree"": 0.8868924649305013, ""gamma"": 0.4535639068694486, ""learning_rate"": 0.03658389492505707, ""max_depth"": 7, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.35284683752685103, ""reg_lambda"": 0.2761789671991507, ""subsample"": 0.7787933960546565}",39654,9914,0.8668361075100652,0.7407178282737732
1,42,XGBoost,10,"{""colsample_bytree"": 0.7298870257968529, ""gamma"": 0.06299698055769154, ""learning_rate"": 0.012517789694034486, ""max_depth"": 7, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_alpha"": 0.0006126360673660023, ""reg_lambda"": 1.4192364158876396, ""subsample"": 0.8849468796739977}",39654,9914,0.8512140430357403,0.7219973206520081
1,42,XGBoost,11,"{""colsample_bytree"": 0.9241345545159065, ""gamma"": 0.5053611684276031, ""learning_rate"": 0.013482445087577705, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 900, ""reg_alpha"": 0.02584585018989454, ""reg_lambda"": 2.037258912191017, ""subsample"": 0.937946544083783}",39654,9914,0.8077920221856563,0.7894484996795654
