task,Code,Product,run_n,normalized_gain_mean_pct,normalized_gain_SD_pct
classification,DBY,DUF1380 family protein,3,0.07036613331586626,0.04535040604006518
classification,MGW,IS982 family transposase,3,0.06984087802950249,0.03380229650105544
classification,ANMR,transcription-repair coupling factor,3,0.06979135252785369,0.011411282338175885
classification,ULD,acyltransferase family protein,3,0.06973773235675092,0.01843792963276132
classification,ZCW,cytochrome P450,3,0.06874773041916395,0.01680731943423852
classification,QWZ,SEC-C domain-containing protein,3,0.06856665847660968,0.013395857481824822
classification,AGU,ABC transporter substrate-binding protein,3,0.06836421867070176,0.014137750316463638
classification,AOVL,type II toxin-antitoxin system YafQ family toxin,3,0.0679689552996685,0.029338763214266036
classification,CKM,DNA methyltransferase,3,0.06733443808029178,0.042895931923350374
classification,AIBW,plasmid mobilization protein MobA,3,0.06719394970906317,0.027711901325640383
classification,DRT,DUF2188 domain-containing protein,3,0.06714094711924437,0.060583405352540566
classification,LAU,IS3-like element IS476 family transposase,3,0.06697850762565283,0.017881225303789806
classification,ANBT,thermonuclease family protein,3,0.06691655493544839,0.008729786198231882
classification,EDK,DUF2726 domain-containing protein,3,0.06658092236213184,0.054768533312189276
classification,SYW,WGR domain-containing protein,3,0.06640554798330785,0.029615840228486418
classification,NRB,MBL fold metallo-hydrolase,3,0.06623934104155962,0.022183279339985658
classification,BKH,CHAP domain-containing protein,3,0.06504430846061159,0.02101161389016795
classification,AGGE,nucleotide excision repair endonuclease,3,0.06496455355103518,0.003075457753952003
classification,FTM,DUF4376 domain-containing protein,3,0.06471449778379916,0.029338479309316552
classification,RDA,STAS domain-containing protein,3,0.06466721347738937,0.020558790240258563
classification,ZYT,elongation factor P,3,0.0645875254340858,0.07784441613222468
classification,VUV,arylsulfatase regulator,3,0.0645494145312567,0.010945646574785693
classification,SFW,Tn3-like element IS3000 family transposase,3,0.06415418627710114,0.005101922779051267
classification,XYH,class 1 integron integrase IntI1,3,0.0640052429661904,0.038801056132148806
classification,NVQ,MT-A70 family methyltransferase,3,0.06347881986384644,0.028242973844705463
classification,ANNL,transcriptional regulator,3,0.06342988388551489,0.02301682911251211
classification,AOUY,type II toxin-antitoxin system RelB/DinJ family antitoxin,3,0.06331154593972547,0.03783681269247541
classification,XEO,carbon storage regulator CsrA,3,0.06301772821338096,0.05120166306300927
classification,QMB,RepA leader peptide Tap,3,0.06299262978186199,0.07741185688168321
classification,VHK,anaerobic ribonucleoside-triphosphate reductase,3,0.06291211529508005,0.0311715519610498
classification,IYZ,FMN reductase,3,0.06284920194970876,0.041308157670269026
classification,CQR,DNA-binding protein,3,0.06252838768566261,0.03405931369397837
classification,APKV,type IV secretory system conjugative DNA transfer family protein,3,0.0625188330995907,0.016429978047696518
classification,OIE,N-acetylmuramoyl-L-alanine amidase,3,0.06235791997436533,0.025391858656871897
classification,DJ,16S rRNA (uracil(1498)-N(3))-methyltransferase,3,0.06196789806746248,0.004997084405995067
classification,AVD,ArdC family protein,3,0.061961077230711564,0.004868909345278408
classification,JFT,FtsK/SpoIIIE domain-containing protein,3,0.06132325959285508,0.009291113220573837
classification,IUC,ExeA family protein,3,0.06127568581343278,0.015188088023211388
classification,QKC,Rad52/Rad22 family DNA repair protein,3,0.06109267083732326,0.023486048333900132
classification,SZW,WhiB family transcriptional regulator,3,0.06097994781189121,0.0028901792253451086
classification,ACCL,glycogen debranching protein GlgX,3,0.06074594209428865,0.011087075228775133
classification,ALIG,single-stranded DNA-binding protein,3,0.060588327897129944,0.005170419893438052
classification,APJY,type IV secretion system protein,3,0.06029863668475708,0.010709758142981536
classification,SBA,TROVE domain-containing protein,3,0.06026568845949482,0.0139370016140334
classification,PJP,PAAR domain-containing protein,3,0.06015280884913371,0.03643214025676943
classification,ANII,toprim domain-containing protein,3,0.05990007615724343,0.0032681282635404585
classification,ACJI,glycosyltransferase family 4 protein,3,0.05946904390375144,0.004229634499544279
classification,EOX,DUF3150 domain-containing protein,3,0.05925763229983985,0.04164917894069349
classification,DAF,DUF1289 domain-containing protein,3,0.05922198221698138,0.022342831746337156
classification,AOWL,type II toxin-antitoxin system death-on-curing family toxin,3,0.05911945580432506,0.03366969700716034
classification,AOWG,type II toxin-antitoxin system antitoxin SocA domain-containing protein,3,0.05879963930503129,0.02080774515641288
classification,AKIP,replication regulatory protein RepA,3,0.058677365020976084,0.009767601946319655
classification,AHCS,phage antirepressor KilAC domain-containing protein,3,0.058505771337273756,0.031455524458462496
classification,MO,3'-5' exonuclease,3,0.05828169833969751,0.004595432327810292
classification,CKD,DNA ligase,3,0.058173468147156245,0.025518532909463938
classification,OEH,MucR family transcriptional regulator,3,0.05797298417852156,0.024387372638111908
classification,QUB,S8 family serine peptidase,3,0.057108378592770626,0.025548717362620748
classification,ACML,guanylate kinase,3,0.05675130452730539,0.002156974655562593
classification,AIOT,preprotein translocase subunit SecE,3,0.056728674719306545,0.0805265747602885
classification,OIQ,N-acetylmuramoyl-L-alanine amidase family protein,3,0.05671213939668748,0.03683309096032317
classification,NQW,MATE family efflux transporter,3,0.05640310112728303,0.010975712628410506
