COG_category,feature_n,task,run,seed,test_n,test_positive_n,test_positive_prevalence,F1_threshold_from_validation,AUPRC,AUROC,F1,R2,RMSE,Spearman_rho
Q,785,regression_tRNA_positive_only,3,44,825,,,,,,,0.5332908230288068,5.898536065793188,0.5529691798995638
T,1062,classification,1,42,12393,825.0,0.06656983781166788,0.6599625167784762,0.8108747116024142,0.9340234293138857,0.7802271209084837,,,
T,1062,regression_tRNA_positive_only,1,42,825,,,,,,,0.7358476402627261,4.5203954530640456,0.6334609416294793
T,1062,classification,2,43,12393,825.0,0.06656983781166788,0.6547113289484224,0.814174102137831,0.9251789681042794,0.7813134732566012,,,
T,1062,regression_tRNA_positive_only,2,43,825,,,,,,,0.719293129866738,5.095773133738346,0.6274598005296909
T,1062,classification,3,44,12393,825.0,0.06656983781166788,0.5917992301688075,0.78769143622941,0.916252305209774,0.762278978388998,,,
T,1062,regression_tRNA_positive_only,3,44,825,,,,,,,0.6380994653271357,5.194164279884401,0.5990364847958158
U,1055,classification,1,42,12393,825.0,0.06656983781166788,0.6959757377079838,0.7967210089140253,0.930694339662182,0.7787261982928431,,,
U,1055,regression_tRNA_positive_only,1,42,825,,,,,,,0.7535524701095138,4.366278333637448,0.6488150024324016
U,1055,classification,2,43,12393,825.0,0.06656983781166788,0.6965325159083382,0.8027266760757132,0.925812481663104,0.7722110888443554,,,
U,1055,regression_tRNA_positive_only,2,43,825,,,,,,,0.6978392356461618,5.286918298028347,0.6182354245129228
U,1055,classification,3,44,12393,825.0,0.06656983781166788,0.849416287443685,0.7929516661861818,0.9316054738253909,0.75,,,
U,1055,regression_tRNA_positive_only,3,44,825,,,,,,,0.6393445363660989,5.18522166335131,0.6103317078438467
V,459,classification,1,42,12393,825.0,0.06656983781166788,0.7182571033664876,0.7703311861924876,0.9148408881344565,0.7496580027359782,,,
V,459,regression_tRNA_positive_only,1,42,825,,,,,,,0.6174178434307382,5.440158304280327,0.5317926996873388
V,459,classification,2,43,12393,825.0,0.06656983781166788,0.5711603101078204,0.786239038713938,0.9206848044762983,0.7482108002602472,,,
V,459,regression_tRNA_positive_only,2,43,825,,,,,,,0.6890718352278262,5.363071606046652,0.5408011673171698
V,459,classification,3,44,12393,825.0,0.06656983781166788,0.6991294942559602,0.7736816016949131,0.9114563162747811,0.7545887151597552,,,
V,459,regression_tRNA_positive_only,3,44,825,,,,,,,0.6186831182310593,5.331680117752199,0.560092573165188
W,38,classification,1,42,12393,825.0,0.06656983781166788,0.7594593926078835,0.34622991656282237,0.7204486252567167,0.39176829268292684,,,
W,38,regression_tRNA_positive_only,1,42,825,,,,,,,0.21322720516528815,7.8014234111582565,0.17205447888708633
W,38,classification,2,43,12393,825.0,0.06656983781166788,0.8208351467299776,0.39724499629921206,0.7443299698227084,0.4242914979757085,,,
W,38,regression_tRNA_positive_only,2,43,825,,,,,,,0.18404288468318664,8.687948358392372,0.2463094038537954
W,38,classification,3,44,12393,825.0,0.06656983781166788,0.75664102226494,0.3711900497976009,0.737335701412465,0.3933933933933934,,,
W,38,regression_tRNA_positive_only,3,44,825,,,,,,,0.25385137917407796,7.458195087211108,0.25086802174871836
Z,43,classification,1,42,12393,825.0,0.06656983781166788,0.7741563997504847,0.35645910750966214,0.7051335449935036,0.4,,,
Z,43,regression_tRNA_positive_only,1,42,825,,,,,,,0.37314242119248453,6.963596887833994,0.24025459873168925
Z,43,classification,2,43,12393,825.0,0.06656983781166788,0.7402292484665839,0.3762869209542632,0.7213571922544951,0.4381679389312977,,,
Z,43,regression_tRNA_positive_only,2,43,825,,,,,,,0.39459872903762716,7.483508012886617,0.24648482386497808
Z,43,classification,3,44,12393,825.0,0.06656983781166788,0.7413085789368712,0.3694992809042277,0.7243278741774591,0.4277198211624441,,,
Z,43,regression_tRNA_positive_only,3,44,825,,,,,,,0.4263947506381066,6.539245278436053,0.26314525289563384
